service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20231120,20240225
2,0,0,0,0,0,0,1,20231120,20240225
3,1,1,1,1,1,0,0,20231120,20240225
4,0,0,0,0,0,0,0,20231120,20240225
16902,0,0,0,0,0,0,0,20231120,20240225
17002,0,0,0,0,0,0,0,20231120,20240225
6302,0,0,0,0,0,0,0,20231120,20240225
17102,0,0,0,0,0,0,0,20231120,20240225
6902,0,0,0,0,0,0,0,20231120,20240225
